id,name,type,lat,lon,tags,version,changeset,timestamp,user,uid,visible,conveying,highway,incline,indoor,level,node_count
26739183,Escalator 26739183,way,38.9781712,-76.9280672,bicycle=dismount;conveying=yes;foot=yes;handrail=yes;highway=steps,8,51658621,2017-09-02T01:15:52Z,wolfgang8741,307520,true,yes,steps,,,,2
61675372,Escalator 61675372,way,38.9008995,-77.0503884,conveying=yes;escalator_dir=down;highway=steps;incline=down,4,138875467,2023-07-23T00:48:30Z,karlrt,56519,true,yes,steps,down,,,2
61676069,Escalator 61676069,way,38.9008510,-77.0503881,conveying=yes;escalator_dir=dynamic;highway=steps;incline=down,4,138875467,2023-07-23T00:48:31Z,karlrt,56519,true,yes,steps,down,,,2
61676074,Escalator 61676074,way,38.9008745,-77.0503883,conveying=yes;escalator_dir=dynamic;highway=steps;incline=down,4,138875467,2023-07-23T00:48:31Z,karlrt,56519,true,yes,steps,down,,,2
240217589,Escalator 240217589,way,38.9783555,-76.9288777,conveying=reversible;covered=yes;foot=yes;handrail=yes;highway=steps;incline=up;level=-1;lit=yes,6,99658177,2021-02-20T19:57:58Z,John Kastner,8486808,true,reversible,steps,up,,-1,2
311976993,Escalator 311976993,way,38.9197690,-77.2224081,access=yes;conveying=yes;covered=yes;highway=steps;incline=up,3,129794634,2022-12-06T19:02:21Z,lbabinetz,17893883,true,yes,steps,up,,,2
478727281,Escalator 478727281,way,38.8976140,-77.0058843,conveying=backward;highway=steps;incline=up;level=-1;0,1,46608877,2017-03-05T23:18:27Z,rolandmwagner,39288,true,backward,steps,up,,-1;0,2
478727287,Escalator 478727287,way,38.8977275,-77.0063863,conveying=forward;highway=steps;incline=up;level=-1;0,1,46608877,2017-03-05T23:18:27Z,rolandmwagner,39288,true,forward,steps,up,,-1;0,2
478727294,Escalator 478727294,way,38.8980600,-77.0061981,conveying=forward;highway=steps;incline=up;level=0;1,1,46608877,2017-03-05T23:18:27Z,rolandmwagner,39288,true,forward,steps,up,,0;1,2
478727295,Escalator 478727295,way,38.8979863,-77.0058584,conveying=backward;highway=steps;incline=up;level=0;1,1,46608877,2017-03-05T23:18:27Z,rolandmwagner,39288,true,backward,steps,up,,0;1,2
478727379,Escalator 478727379,way,38.8980547,-77.0069039,conveying=backward;highway=steps;incline=up;level=0;1,1,46608877,2017-03-05T23:18:31Z,rolandmwagner,39288,true,backward,steps,up,,0;1,2
478727381,Escalator 478727381,way,38.8979853,-77.0069290,conveying=forward;highway=steps;incline=up;level=0;1,1,46608877,2017-03-05T23:18:31Z,rolandmwagner,39288,true,forward,steps,up,,0;1,2
584775748,Escalator 584775748,way,38.7930648,-77.0754342,conveying=yes;highway=steps;incline=up;lit=yes,7,120687155,2022-05-08T02:37:33Z,Mark Stenglein,15875763,true,yes,steps,up,,,4
584775750,Escalator 584775750,way,38.7930648,-77.0754342,conveying=yes;highway=steps;incline=up;lit=yes,6,120687155,2022-05-08T02:37:36Z,Mark Stenglein,15875763,true,yes,steps,up,,,2
584775758,Escalator 584775758,way,38.7924847,-77.0759313,construction=yes;conveying=yes;highway=steps;incline=down,3,120687164,2022-05-08T02:38:39Z,Mark Stenglein,15875763,true,yes,steps,down,,,2
659984224,Escalator 659984224,way,38.8890765,-77.0285514,conveying=yes;highway=steps;incline=up,1,65967486,2019-01-02T18:43:34Z,quincylvania,4515353,true,yes,steps,up,,,2
696658745,Escalator 696658745,way,38.7943454,-77.0752011,conveying=yes;highway=steps;incline=down,2,120667391,2022-05-07T12:54:39Z,Mark Stenglein,15875763,true,yes,steps,down,,,3
696658746,Escalator 696658746,way,38.7945490,-77.0751828,conveying=yes;highway=steps;incline=up,2,120667391,2022-05-07T12:54:44Z,Mark Stenglein,15875763,true,yes,steps,up,,,3
718207863,Escalator 718207863,way,38.8986259,-76.9469427,conveying=yes;highway=steps;incline=down,3,121150822,2022-05-18T14:34:43Z,KB-01,9509339,true,yes,steps,down,,,2
817885523,Escalator 817885523,way,38.8818707,-77.1113508,conveying=reversible;highway=steps;incline=down;indoor=no;level=0;-1,4,120846715,2022-05-11T15:25:37Z,KB-01,9509339,true,reversible,steps,down,no,0;-1,2
912876439,Escalator 912876439,way,38.8939444,-77.0225284,conveying=yes;highway=steps;incline=down,2,127644365,2022-10-17T02:37:26Z,0x0000,651903,true,yes,steps,down,,,3
929465930,Escalator 929465930,way,38.9085861,-77.0433404,conveying=yes;highway=steps,1,102763036,2021-04-12T02:17:20Z,wrivlin,2828547,true,yes,steps,,,,2
929465931,Escalator 929465931,way,38.9108954,-77.0445302,conveying=yes;highway=steps;incline=up;lit=yes,3,116485200,2022-01-23T00:55:18Z,Yom,242694,true,yes,steps,up,,,2
929465932,Escalator 929465932,way,38.9108369,-77.0444184,conveying=yes;highway=steps;incline=up;level=-1;tunnel=yes,2,143277967,2023-10-28T18:49:08Z,Peter Newman,7096975,true,yes,steps,up,,-1,2
929465933,Escalator 929465933,way,38.9087632,-77.0432939,conveying=yes;highway=steps;layer=-1;tunnel=yes,1,102763036,2021-04-12T02:17:20Z,wrivlin,2828547,true,yes,steps,,,,2
998573609,Escalator 998573609,way,38.8828279,-77.1032885,conveying=reversible;highway=steps;incline=down;indoor=no;level=0;-1,2,115765278,2022-01-04T17:50:27Z,KB-01,9509339,true,reversible,steps,down,no,0;-1,2
1086281511,Escalator 1086281511,way,38.8626807,-77.0591193,conveying=forward;highway=steps;incline=up,1,124902664,2022-08-14T20:28:54Z,whammo,1962542,true,forward,steps,up,,,2
1086281514,Escalator 1086281514,way,38.8625492,-77.0591106,conveying=forward;highway=steps;incline=down,1,124902664,2022-08-14T20:28:54Z,whammo,1962542,true,forward,steps,down,,,2
1098686691,Escalator 1098686691,way,38.8870292,-77.0953022,"conveying=yes;direction=both;highway=steps;incline=up;level=-0.5, 0",3,146286104,2024-01-15T14:57:17Z,wsduvall,10883146,true,yes,steps,up,,"-0.5, 0",2
1098686692,Escalator 1098686692,way,38.8868925,-77.0954787,"conveying=yes;direction=both;highway=steps;incline=down;level=-0.5, -1",3,166498886,2025-05-19T22:26:03Z,Jakesname,12481081,true,yes,steps,down,,"-0.5, -1",2
1101519923,Escalator 1101519923,way,38.8813593,-77.1111153,access=yes;conveying=forward;highway=steps;incline=down;indoor=yes;level=0;1,2,145310059,2023-12-19T23:05:54Z,arichnad,383779,true,forward,steps,down,yes,0;1,2
1102716424,Escalator 1102716424,way,38.8903125,-77.0852114,conveying=reversible;direction=both;highway=steps;level=0;-1,1,127324606,2022-10-10T21:22:44Z,Zach Rowe,1813601,true,reversible,steps,,,0;-1,2
1102716426,Escalator 1102716426,way,38.8911806,-77.0849701,conveying=yes;direction=both;highway=steps;level=0;-1,1,127324606,2022-10-10T21:22:44Z,Zach Rowe,1813601,true,yes,steps,,,0;-1,2
1110949845,Escalator 1110949845,way,38.8906172,-77.0857582,access=yes;conveying=reversible;highway=steps;indoor=yes;level=-2;-1,1,128580245,2022-11-07T05:25:58Z,andrewth1,17230350,true,reversible,steps,,yes,-2;-1,2
